Preferred Label;Synonyms;Definitions
cholelithiasis;;
cholera;Cholera or Vibrio cholerae|Cholera - Vibrio cholerae disorder|Cholera due to Vibrio cholerae;A primary bacterial infectious disease that is described as an acute, diarrheal illness caused by infection of the intestine with the bacterium Vibrio cholerae, which is characterized by profuse watery diarrhea, vomiting, leg cramps, circulatory collapse and shock.
cholestasis;Obstruction of bile duct|bile occlusion;
cholesteatoma;;A keratosis characterized_by keratinizing squamous epithelium located_in middle ear and/or mastoid, subepithelial connective tissue and by the progressive accumulation of keratin debris with or without surrounding inflammatory reaction.
cholesteatoma of attic;;
cholesteatoma of external ear;external canal cholesteatoma;A cholesteatoma which involves invasion of the squamous tissue into a localized area of bony erosion of the ear canal. It may develop spontaneously or as a consequence of infection, trauma or surgery.
cholesteatoma of middle ear;middle ear cholesteatoma|Epidermosis of ear|Cholesteatoma of middle ear disorder|Epidermosis of middle ear|Cholesteatoma of middle ear and/or mastoid|Cholesteatoma of the middle ear|Unspecified cholesteatoma morphologic abnormality|Cholesteatoma of middle ear|Cholesteatoma of middle ear and mastoid;
cholesterol embolism;cholesterol crystal embolism |warfarin blue toe syndrome|trash foot |purple toe syndrome |atheroembolism;A vascular disease that is characterized by blood vessel obstruction resulting from the release of cholesterol from the inside of blood vessels along the bloodstream.
cholesterol ester storage disease;;
choline deficiency disease;choline deficiency|Choline deficiency disorder;
cholinergic urticaria;;An urticaria induced by sweating.
chondroblastic osteosarcoma;Chondroblastic osteosarcoma morphologic abnormality|chondrosarcomatous Osteogenic sarcoma;
chondroblastoma;Chondroblastoma of bone;
chondrocalcinosis;pseudogout|calcium pyrophosphate deposition disease;An arthritis that has_material_basis_in the accumulation of salt crystals located_in joint.|Xref MGI.
chondrodysplasia Blomstrand type;Blomstrand lethal chondrodysplasia;
chondrodysplasia punctata;Chondrodysplasia punctata congenita disorder|Chondrodysplasia calcificans congenita;DeObs MGI.
chondrodysplasia-pseudohermaphroditism syndrome;chondrodysplasia-disorder of sex development syndrome|Nivelon-Nivelon-Mabille syndrome;A syndrome characterized by the clinical features of 46,XY complete gonadal dysgenesis in association with severe dwarfism with generalized chondrodysplasia.
chondrogenic neoplasm;cartilage neoplasm|Chondromatous neoplasm morphologic abnormality|Chondromatous tumor|Chondromatous neoplasm NOS morphologic abnormality;
chondroid chordoma;Chondroid chordoma morphologic abnormality;A chordoma that histologically derives_from chordoma, derives_from chondroma, and derives_from chondrosarcoma.
Chondroid hamartoma of lung;pulmonary Chondroid hamartoma;
chondroid lipoma;;A lipoma that is a deep-seated, firm, yellow tumors that characteristically occur on the legs of women.
chondroid syringoma of the vulva;;
chondroma;central Chondroma;A cell type benign neoplasm that is a cartilaginous tumor encapsulated with a lobular growing pattern.
chondromalacia;;
chondromalacia patellae;softening of articular cartilage of patella|Chondromalacia of patella disorder|Chondromalacia of patella|Chondromalacia patellae;OMIM mapping confirmed by DO. [SN].
chondrosarcoma;chondrosarcoma of bone|primary chondrosarcoma of the bone;A connective tissue cancer that has_material_basis_in cells derived from transformed cells that produce cartilage.|OMIM mapping confirmed by DO. [SN].
chordoid glioma;Chordoid glioma morphologic abnormality|Chordoid glioma;
chordoid meningioma;meningioma, chordoid morphologic abnormality|Chordoid meningioma;
chordoma;notochordoma;A notochordal cancer that derives_from cellular remnants of the notochord.|OMIM mapping confirmed by DO. [SN].
chorea gravidarum;Chorea gravidarum disorder;
chorea-acanthocytosis;choreoacanthocytosis|Levine-Critchley syndrome;A neuroacanthocytosis that has_material_basis_in homozygous or compound heterozygous mutation in the VPS13A gene, which encodes chorein, on chromosome 9q21
choreatic disease;hereditary chorea|chorea;A movement disease characterized by brief, semi-directed, irregular movements that not repetitive or rhythmic, but appear to flow from one muscle to the next.|Xref MGI.
chorioamnionitis;;A placenta disease that is an inflammation of the fetal membranes (amnion and chorion) due to a bacterial infection.
chorioangioma;Placental hemangioma;
choriocarcinoma;Chorioepithelioma;
choriocarcinoma of ovary;Ovarian Choriocarcinoma|Choriocarcinoma of ovary disorder;
choriocarcinoma of the testis;testicular Choriocarcinoma;
chorioretinal scar;;
chorioretinitis;retinochoroiditis;
choroid cancer;choroid neoplasm|malignant tumor of the Choroid|neoplasm of choroid disorder|Choroidal tumor|malignant tumor of choroid disorder;
choroid disease;;
choroid epithelioid cell melanoma;Choroidal epithelioid cell melanoma;
choroid mixed cell melanoma;;
choroid necrotic melanoma;necrotic Choroid melanoma;
choroid plexus cancer;tumor of the Choroid Plexus|tumor of choroid plexus disorder|choroid plexus neoplasm;A cerebral ventricle cancer that is located_in the plexus located_in the ventricles of the brain.
choroid plexus carcinoma;malignant neoplasm of the Choroid Plexus|malignant tumor of choroid plexus disorder|Choroid plexus carcinoma morphologic abnormality|cancer of Choroid Plexus|malignant neoplasm of choroid plexus|malignant tumor of choroid plexus;A choroid plexus cancer that has_material_basis_in epithelial cells of the choroid plexus.
choroid plexus meningioma;Choroid meningioma morphologic abnormality|meningioma of the Choroid Plexus;
choroid plexus papilloma;pediatric papilloma of Choroid Plexus|Choroid plexus papilloma NOS morphologic abnormality|childhood choroid plexus papilloma|papilloma of the Choroid Plexus|Choroid plexus papilloma, no ICD-O subtype morphologic abnormality|childhood papilloma of choroid plexus;OMIM mapping confirmed by DO. [SN].
choroid spindle cell melanoma;spindle cell melanoma of the Choroid;A malignant melanoma of choroid and spindle cell intraocular melanoma that is located_in the choroid.
choroidal hemorrhage and rupture;Choroidal hemorrhage or rupture NOS disorder|Choroidal hemorrhage and rupture disorder;
choroidal rupture;Choroidal rupture disorder;
choroidal sclerosis;Choroidal degenerations;OMIM mapping confirmed by DO. [SN].
choroideremia;progressive Choroidal Atrophy;OMIM mapping confirmed by DO. [SN].
choroiditis;;
Christianson syndrome;mental retardation, X-linked syndromic, Christianson type|mental retardation, microcephaly, epilepsy, and ataxia syndrome|MRXSCH|X-linked intellectual disability, South African type|X-linked intellectual disability-craniofacial dysmorphism-epilepsy-ophthalmoplegia-cerebellar atrophy syndrome|X-linked Angelman-like syndrome;A syndromic X-linked intellectual disability characterized by severe developmental delay, intellectual disability, microcephaly, impaired speech, ataxia, hypotonia and early-onset seizures that has_material_basis_in mutation in the SLC9A6 gene on chromosome Xq26.
Chromadorea infectious disease;secernentea infectious disease;A Nematoda infectious disease that involves infection by parasitic worms of the class Chromadorea, characterized by body annules, elaborated and spiral amphids, and three esophageal glands.
chromoblastomycosis;Mossy foot disease disorder|Chromomycosis;A subcutaneous mycosis that is a chronic subcutaneous fungal infection, which presents as nodular or verrucoid, ulcerated, or crusted skin lesions on exposed areas of skin caused by Fonsecaea pedrosoi, Fonsecaea compacta, Cladophialophora carrionii or Phialophora verrucosa. Histological examination reveals muriform cells (with perpendicular septations) or thick walled, dark-colored, rounded forms (copper pennies) that are characteristic of this infection.
chromophil adenoma of the kidney;Papillary adenoma of the kidney;
chromophobe adenoma;Chromophobe adenoma of the Pituitary gland;
chromophobe renal cell carcinoma;renal cell carcinoma, chromophobe cell|chromophobe adenocarcinoma|Chromophobe carcinoma of kidney|kidney chromophobe;A renal cell carcinoma that has_material_basis_in chromophobe cell that appear pale when viewed under microscope, but that are larger and display different features than clear cells.
chromosomal deletion syndrome;;
chromosomal disease;;A genetic disease that has_material_basis_in extra, missing, or re-arranged chromosomes.
chromosomal duplication syndrome;;
chromosome q deletion syndrome;;
chromosome q deletion syndrome;deletion 13q14;
chromosome q-q deletion syndrome;14q11.2 microdeletion syndrome;
chromosome q. deletion syndrome;15q11.2 microdeletion syndrome;
chromosome q. microdeletion syndrome;15q13.3 microdeletion syndrome;
chromosome q deletion syndrome;15q24 microdeletion syndrome;
chromosome q deletion syndrome;;
chromosome q-qter deletion syndrome;telomeric 15q deletion syndrome|distal 15q deletion syndrome|Drayer syndrome|15q26 deletion syndrome|distal monosomy 15q;
chromosome p. deletion syndrome, kb;distal 16p11.2 microdeletion syndrome;
chromosome p. duplication syndrome;proximal dup16p11.2|proximal 16p11.2 microduplication syndrome|proximal trisomy 16p11.2;
chromosome p. deletion syndrome, kb;;
chromosome p.-p. deletion syndrome;16p11.2p12.2 microdeletion syndrome|16p11.2-p12.2 microdeletion syndrome;
chromosome p. duplication syndrome;distal trisomy 16p|telomeric duplication 16p|distal duplication 16p|16p13.3 microduplication syndrome;
chromosome q deletion syndrome;;
chromosome p. deletion syndrome;;
chromosome p. duplication syndrome;chromosome 17p13.3 centromeric duplication syndrome|17p13.3 duplication syndrome|17p13.3 microduplication syndrome|trisomy 17p13.3;
chromosome q. deletion syndrome, .Mb;NF1 microdeletion syndrome|neurofibromatosis type 1 microdeletion syndrome|17q11 microdeletion syndrome|Van Asperen syndrome;
chromosome q deletion syndrome;17q12 microdeletion syndrome;
chromosome q duplication syndrome;trisomy 17q12|17q12 microduplication syndrome;
chromosome q. duplication syndrome;trisomy 17q21.31|17q21.31 microduplication syndrome;
chromosome q.-q. deletion syndrome;17q23.1q23.2 microdeletion syndrome|17q23.1-q23.2 microdeletion syndrome;
chromosome p deletion syndrome;monosomy 18p|18p- syndrome|De Grouchy syndrome;
chromosome q deletion syndrome;18q- syndrome|monosomy 18q|deletion 18q;
chromosome p. deletion syndrome;;
chromosome q. deletion syndrome;19q13.11 microdeletion syndrome|monosomy 19q13.11;
chromosome p-p deletion syndrome;1p31p32 microdeletion syndrome;
chromosome p deletion syndrome;deletion 1p36|1p36 deletion syndrome|monosomy 1p36|subtelomeric 1p36 deletion;
chromosome q. deletion syndrome;1q21.1 microdeletion syndrome|monosomy 1q21.1;
chromosome q. duplication syndrome;1q21.1 microduplication syndrome|trisomy 1q21.1;
chromosome q-q deletion syndrome;1q41q42 microdeletion syndrome|1q41-q42 microdeletion syndrome;
chromosome q. deletion syndrome, distal;distal 22q11.2 microdeletion syndrome;
chromosome q. microduplication syndrome;duplication 22q11.2|22q11.2 microduplication syndrome|trisomy 22q11.2;
chromosome q duplication syndrome;;
chromosome p-p. deletion syndrome;;
chromosome p.-p deletion syndrome;2p15p16.1 microdeletion syndrome|2p15-p16.1 microdeletion syndrome;
chromosome q. duplication syndrome;;
chromosome q. deletion syndrome;;
chromosome q-q deletion syndrome;monosomy 2q32|2q32q33 microdeletion syndrome|2q32-q33 microdeletion syndrome|monosomy 2q32q33|monosomy 2q32-q33|Glass syndrome;
chromosome q. deletion syndrome;3q13 microdeletion syndrome|monosomy 3q13;
chromosome q microdeletion syndrome;3qter deletion|3q29 microdeletion syndrome|3q subtelomere deletion syndrome;
chromosome q microduplication syndrome;3q29 microduplication|trisomy 3q29;
chromosome q deletion syndrome;monosomy 4q21|4q21 microdeletion syndrome;
chromosome p duplication syndrome;5p13 microduplication syndrome|trisomy 5p13;
chromosome q deletion syndrome;myelodysplastic syndrome associated with isolated del5q chromosome abnormality|5q- syndrome, refractory macrocytic anemia due to 5q deletion;A chromosome deletion syndrome characterized by severe macrocytic anemia erythroid hypoplasia in the bone marrow, hypolobated micromegakaryocytes and that has_material_basis_in somatic deletion of 1 allele of the RPS14, MIR145, MIR146A and/or DDX41 genes on chromosome 5q.
chromosome q deletion syndrome;;
chromosome pter-p deletion syndrome;distal monosomy 6p|6p25 microdeletion syndrome|6p subtelomeric deletion syndrome;
chromosome q-q deletion syndrome;;
chromosome q-q deletion syndrome;monosomy 6q25|6q25 microdeletion syndrome;
chromosome q. deletion syndrome;8q21.11 microdeletion syndrome;
chromosome p deletion syndrome;Alfi syndrome|monosomy 9p syndrome|9p syndrome;A chromosome deletion syndrome characterized by trigonocephaly, flattened occiput, midface hypoplasia, long philtrum, prominent forehead, broad flat nasal bridge, anteverted nares, malformed external ears, hypertelorism, hypertonia, delayed psychomotor development and that has_material_basis_in a contiguous gene deletion on the short arm of chromosome 9.
chromosome Xp.-p. duplication syndrome;microduplication Xp11.22-p11.23 syndrome|trisomy Xp11.22-p11.23;
chromosome Xp deletion syndrome;complex glycerol kinase deficiency|monosomy Xp21|Xp21 microdeletion syndrome;
chronic allograft arteriopathy;;
chronic apical periodontitis;chronic apical periodontitis disorder|chronic apical periodontitis NOS disorder;
chronic atrial and intestinal dysrhythmia;CAID syndrome;A syndrome characterized by a unique combination of cardiac arrhythmias and intestinal pseudo-obstruction. It has material basis in the mutated SGOL1 protein. Distinctive clinical features include atrial dysrhythmias, sick sinus syndrome (SSS) and valve anomalies and chronic intestinal pseudo-obstruction (CIPO).
chronic atticoantral disease;chronic atticoantral suppurative otitis media;A chronic purulent otitis media which involves perforation in the attic region (pars flaccida of the tympanic membrane) or at the posterosuperior margin, with in-growth of squamous epithelium into the middle ear. This is caused as a result of poor ventilation of the middle ear and episodes of infection.
