Preferred Label;Synonyms
pulmonary part of lymphatic system;pulmonary lymphatic chain|pulmonary lymphatic vasculature
spermatid;nematoblast
mammary gland alveolus;alveolus of lobe of mammary gland|lobe of mammary gland alveolus|alveolus of lobe of breast|lactiferous gland alveolus|alveolus of mammary gland|mammary alveolus|alveolus of lactiferous gland|lobe of breast alveolus|lactiferous alveolus|mammary alveoli
wall of esophagus;esophagus wall|oesophagus anatomical wall|oesophagus wall|anatomical wall of esophagus|esophagus anatomical wall|esophageal wall|gullet wall|wall of gullet|anatomical wall of oesophagus|gullet anatomical wall|wall of oesophagus|anatomical wall of gullet
fetal derived definitive erythrocyte;macrocyte
androgen secretion;
Toxicofera;
stylopod;proximal part of limb|proximal free limb segment|stylopodium|propodium|stylopodial limb segment|proximal segment of free limb
inner nuclear layer of retina;intermediate cell layer|retina inner nuclear layer|inner nuclear layer|stratum nucleare internum|stratum nucleare internum retinae|retinal inner nuclear layer|neural retina inner nuclear layer|INL|retina, inner nuclear layer|layer of inner granules
glomerular epithelium;epithelium of glomerulus|epithelium of renal glomerulus|kidney glomerular epithelium|epithelium of kidney glomerulus|glomerular epithelial cell
Vgamma1.1-positive, Vdelta6.3-positive thymocyte;Vg1.1+Vd6.3+ T cell
urorectal septum;urorectal membrane|septum urorectale|urorectal fold|cloacal septum
kidney loop of Henle thick ascending limb epithelial cell;
pharyngeal arch cartilage;splanchnocranium cartilage|pharyngeal arch cartilages
metanephric nephron;
MHC protein complex;
outflow part of left ventricle;aortic vestibule|left ventricular outflow|LVOT|vestibulum aortae|Sibson vestibule|heart left ventricle outflow tract|left ventricular outflow tract|outflow tract of left ventricle
presynaptic process involved in chemical synaptic transmission;
adipocyte of breast;breast adipocyte|fat cell of breast
neuron projection bundle;funiculus|neural fiber bundle|nerve fiber bundle
pro-T cell;progenitor T cell|pro-T lymphocyte|DN1 cell|TN1 cell|DN1 thymocyte
kidney interstitial myofibroblast;
epithelial cell differentiation;
epithelial cell of uterus;
integumentary adnexa;body hair or bristle|skin adnexa|skin appendage|adnexae cutis|skin adnexal structure
C-X-C chemokine receptor type 1;high affinity interleukin-8 receptor A|CDw128a|IL-8R A|CXC-R1|CXCR1|IL-8 receptor type 1|CXCR-1|CD181|CMKAR1|IL8RA
arcuate artery smooth muscle cell;
melanogaster subgroup;
hindlimb joint;joint of limb of hindlimb|inferior member joint of limb|hind limb limb joint|joint of limb of hind limb|limb joint of inferior member|joint of limb of lower extremity|hind limb joint of limb|hindlimb joint of limb|joint of limb of inferior member|inferior member limb joint|joint of lower limb|limb joint of lower extremity|joint of free lower limb|lower extremity joint of limb|limb joint of hindlimb|hindlimb limb joint|lower extremity limb joint|limb joint of hind limb
brush cell;multivesicular cell|tuft cell|fibrillovesicular cell|caveolated cell
olfactory organ;olfactory organ|olfactory sensory organ|olfactory sense organ|primary olfactory organ|main olfactory organ|olfactory neuroepithelium|organum olfactorium|organ olfactus
future nervous system;presumptive nervous system
segmental subdivision of hindbrain;segment of hindbrain|hindbrain segment
parietal cell;oxyntic cell
B220-low CD38-negative unswitched memory B cell;
antigen processing and presentation of peptide antigen via MHC class II;
Saurischia;
support cell (sensu Nematoda);
seminal vesicle;seminal gland|vesicula seminalis|vesicular glands|vesicular seminalis|gonecyst|glandula seminalis|glandula vesiculosa|vas efferens|vesiculae seminales|vesiculæ seminales|vesicular gland
cation transport;
type V taste receptor cell;
eye gland;eye-associated gland|gland of eye
Macropus;
epidermal Langerhans cell;
kidney afferent arteriole cell;
lung connective tissue;connective tissue of lung|pulmonary interstitium|lung interstitium|pulmonary connective tissue|lung interstitial tissue|pulmonary interstitial tissue
defense response to nematode;
hair follicle dermal papilla cell of scalp;
anterior lateral line nerve glial cell;
CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell;
lateral line nerve glial cell;
pelvis blood vessel;blood vessel of pelvis
knee joint;joint of knee|articulatio genus
CD8-positive, alpha-beta cytotoxic T cell;cytotoxic T lymphocyte|cytotoxic T-cell|killer T cell|killer T lymphocyte|killer T-lymphocyte|killer T-cell|cytotoxic T cell|cytotoxic T-lymphocyte|CD8-positive, alpha-beta cytotoxic T-cell|CD8-positive, alpha-beta cytotoxic T lymphocyte|CD8-positive, alpha-beta cytotoxic T-lymphocyte
cloacal sphincter;sphincter cloacae
orbital region;eye region|orbital part of face|content of orbital part of eye|ocular region|orbital content|ocular and peri-ocular region|orbital part of eye
cerebral cortex endothelial cell;cerebral cortex endothelial cells|endothelial cells of cerebral cortex
Kit-positive, integrin beta7-high basophil mast progenitor cell;
Cercopithecoidea;
renal duct;
interlobular duct;
midbrain neural tube;
muscle of abdomen;abdominal wall muscle|abdomen muscle organ|abdominal muscle|muscle organ of abdomen|abdomen muscle|abdominal wall musculature
manus cartilage element;hand cartilage condensation
organ or tissue specific immune response;
norepinephrine secretion;
neurosecretory neuron;
lobate;
anterior lateral line neuromast support cell;
skin fibroblast;
noradrenergic cell;norepinephrine secreting cell|norepinephrin secreting cell|noradrenaline secreting cell
primary neuron;
epiphysis;bone epiphysis|end of long bone|epiphyses|long bone epiphysis
activated CD8-positive, alpha-beta T cell, human;activated CD8+ T cell|activated CD8-positive, alpha-beta T-lymphocyte, human|activated CD8-positive, alpha-beta T lymphocyte, human|activated CD8-positive, alpha-beta T-cell, human
perirenal fat;perirenal fascia|adipose capsule of kidney|perirenal fat capsule|perinephric fat|capsula adiposa renis|periphrenic fascia|perirenal fat pad|perirenal fascia|fatty capsule of kidney
posterior cone cell (sensu Endopterygota);
jaw mesenchyme;
smooth muscle myoblast;myoblast, smooth muscle|satellite cell
primitive cardiac myocyte;
obsolete osteochondroclast;
metanephric nephron epithelium;
endocervix;
detection of external stimulus;
foregut-midgut junction gland;gland of foregut-midgut junction
Ly49H-negative natural killer cell;LyH49H-negative
crystallin accumulating cell;lens cell
regulation of cell migration;
pharyngeal gland;pharynx gland|glandulae pharyngeae
manual digit plus metapodial segment;manual digit ( phalanges plus metapodial) plus soft tissue|manual digit|manual digit digitopodial subdivision|manual digit ray
comma-shaped body;CSB
obsolete xylem element;
lymphatic vessel endothelium;lymphatic endothelium|lymphatic vessel endothelium|endothelium of lymph vessel|endothelium of lymphatic vessel|lymph vessel endothelium
gonad primordium;future gonad|gonadal primordium|primitive gonad|undifferentiated gonad|immature gonad
regulation of hormone levels;
mature interstitial dendritic cell;
mesonephric nephron epithelium;
CD69-positive, CD4-positive single-positive thymocyte;T.4SP69+.Th|intermediate CD4-single-positive
microtubule cytoskeleton organization;
kidney loop of Henle thin ascending limb epithelial cell;
Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell;
alveolar wall;pulmonary interalveolar septum|pulmonary alveolar wall|wall of pulmonary alveolus|alveolus wall
sensory system;sensory systems|sense organs set|sense organs|sense organ subsystem|sensory subsystem|organa sensuum|sensory organ system|set of sense organs|organa sensuum
Maxillopoda;
epithelium of handplate;handplate epithelium
detection of chemical stimulus involved in sensory perception;
meiotic cell cycle process;
naive thymus-derived CD4-positive, alpha-beta T cell;naive CD4+ T cell|T.4Nve.Sp|Th0|naive thymus-derived CD4-positive, alpha-beta T lymphocyte|naive thymus-derived CD4-positive, alpha-beta T-cell|naive thymus-derived CD4-positive, alpha-beta T-lymphocyte
muscle layer of duodenum;duodenal muscularis propria|muscularis externa of duodenum|smooth muscle of duodenum|muscularis propria of duodenum
skeletal muscle satellite myogenic cell;
effector CD8-positive, alpha-beta T cell;effector CD8+ T cell|effector CD8-positive, alpha-beta T-lymphocyte|effector CD8-positive, alpha-beta T lymphocyte|effector CD8-positive, alpha-beta T-cell
non-terminally differentiated cell;blast cell
male paramesonephric duct;degenerating mesonephric portion of male paramesonephric duct
regulation of nucleobase-containing compound metabolic process;
kidney interstitial fibroblast;
epicardial adipocyte;epicardial fat cell|adipocyte of epicardial fat
smooth muscle tissue of terminal bronchiole;
cardiac myoblast;
pronephric proximal straight tubule;proximal straight tubules
outflow tract pulmonary component;
peptidergic neuron;
testosterone secretion;
endothelial cell of umbilical vein;
Feliformia;
juvenile hormone secreting cell;
mucous neck cell;neck cell
presumptive hindbrain;presumptive rhombencephalon|embryonic rhombencephalon|rhombencephalon|future hindbrain
duct of salivary gland;salivary duct|salivary gland duct|secretory duct
pedal digitopodium region;
parietal pleura;pleura parietalis
Echinodermata;echinoderms|echinoderms
perforin-1;lymphocyte pore-forming protein|PRF1|cytolysin|PFP|P1
tissue-resident macrophage;fixed macrophage|resting histiocyte
basement membrane of epithelium;membrana basalis|basement membrane of connective tissue|basement membrane
skeleton of pedal digitopodium;pedal digitopodium
primitive olfactory epithelium;
podocyte (sensu Diptera);
oospore;
CD59-like glycoprotein;
Hemichordata;hemichordates|hemichordates
neck of urinary bladder;neck of bladder|cervix vesicae|collum vesicae|bladder neck|vesical neck|urinary bladder neck|cervix vesicae urinariae
regulation of cell differentiation;
programmed cell death protein 1;protein PD-1|CD279|PD-1|PDCD1|PD1
sexual spore;meiotically-derived spore
limb bone pre-cartilage condensation;
epidermal melanocyte;
lymph node of head;
trachea pre-cartilage rings;
Purkinje myocyte of atrioventricular bundle;
oligopotent;
CD8-positive, alpha-beta regulatory T cell;suppressor T-lymphocyte|suppressor T lymphocyte|suppressor T cell|suppressor T-cell|CD8-positive Treg|CD8-positive, alpha-beta regulatory T-lymphocyte|CD8+ Treg|CD8+ regulatory T cell|CD8-positive, alpha-beta regulatory T-cell|CD8-positive, alpha-beta Treg|CD8-positive, alpha-beta regulatory T lymphocyte|CD8+ T(reg)|CD8-positive T(reg)
obsolete myrosin cell;
wall of intestine;anatomical wall of intestine|intestine anatomical wall|anatomical wall of bowel|bowel anatomical wall|intestine wall|bowel wall|intestinal wall|wall of bowel|bowel wall
pharyngeal cleft;pharyngeal groove|pharyngeal groove ectoderm|gill cleft|branchial groove|Kiemenspalten|pharyngeal slit|branchial cleft|sulcus pharyngei|pharyngeal ectodermal cleft
langerin-positive dermal dendritic cell;
Bovidae;
ciliated columnar oviduct epithelium;uterine tube epithelium|epithelium of uterine tube
serotonergic neuron;5-hydroxytryptamine neuron|5-HT neuron|serotinergic neuron
outer epithelial layer of tympanic membrane;outer layer of tympanic membrane|cuticular stratum of tympanic membrane|cuticular layer of tympanic membrane|outer cuticular layer of tympanic membrane|tympanic membrane external acoustic meatus epithelial component
embryonic cloaca;cloaca
ganglion;neural ganglion|ganglia
serous pericardium;serous portion of pericardium|pericardium serosum
metanephric proximal tubule;
tip cell;
dentine;dentin|dentine of tooth|predentin
myocyte of sinoatrial node;sinoatrial node myocyte|sinoatrial node cell|sinuatrial node myocyte|SA node cardiac muscle cell|myocyte of sinoatrial node|SA nodal myocyte
immune effector process;
metanephric cortex mesenchyme;
articulation;joint
cardiocyte;heart cell
bone tissue of long bone;osseous tissue of long bone
detection of mechanical stimulus involved in sensory perception of sound;
Fraction A pre-pro B cell;fraction A|pre pro B cell
Bm2' B cell;Bm2-prime B cell|Bm2' B lymphocyte|Bm2' B-lymphocyte|Bm2-prime B-cell |Bm2-prime B lymphocyte |Bm2-prime B-lymphocyte |Bm2' B-cell|germinal center founder cell
